episode,score,total_reward,epsilon,loss
1.0,1.0,-1.2999999999999972,1.0,0.0
2.0,0.0,-11.2,0.995,0.0
3.0,0.0,-11.2,0.990025,0.0
4.0,0.0,-11.0,0.985074875,0.0
5.0,0.0,-11.3,0.9801495006250001,0.0
6.0,0.0,-11.0,0.9752487531218751,0.0
7.0,1.0,-0.6999999999999993,0.9703725093562657,0.0
8.0,0.0,-12.200000000000001,0.9655206468094844,0.0
9.0,0.0,-10.4,0.960693043575437,0.0
10.0,0.0,-10.5,0.9558895783575597,0.0
11.0,0.0,-10.7,0.9511101304657719,0.0
12.0,0.0,-10.4,0.946354579813443,0.0
13.0,0.0,-10.8,0.9416228069143757,0.0
14.0,0.0,-10.3,0.9369146928798039,0.0
15.0,0.0,-11.2,0.9322301194154049,0.0
16.0,0.0,-10.5,0.9275689688183278,0.0
17.0,0.0,-10.8,0.9229311239742362,0.0
18.0,1.0,-0.29999999999999893,0.918316468354365,0.0
19.0,0.0,-10.5,0.9137248860125932,0.0
20.0,0.0,-10.5,0.9091562615825302,0.0
21.0,2.0,8.399999999999999,0.9046104802746175,0.9544975730505857
22.0,0.0,-10.4,0.9000874278732445,1.2113463401794433
23.0,1.0,-0.7999999999999972,0.8955869907338783,1.1849257588386535
24.0,0.0,-10.4,0.8911090557802088,1.3383250951766967
25.0,1.0,-1.9999999999999947,0.8866535105013078,1.0727986557917162
26.0,0.0,-10.5,0.8822202429488013,1.0853321552276611
27.0,0.0,-10.4,0.8778091417340573,1.0906221866607666
28.0,0.0,-10.8,0.8734200960253871,0.836079306072659
29.0,1.0,-1.8999999999999932,0.8690529955452602,0.6722453875201089
30.0,0.0,-10.5,0.8647077305675338,0.6300657788912455
31.0,1.0,-2.8999999999999915,0.8603841919146962,0.4515927073455626
32.0,0.0,-10.5,0.8560822709551227,0.2941118652621905
33.0,0.0,-10.2,0.851801859600347,0.42508358756701153
34.0,0.0,-11.2,0.8475428503023453,0.3281480096853696
35.0,0.0,-12.8,0.8433051360508336,0.25146839420857103
36.0,2.0,8.899999999999999,0.8390886103705794,0.25460676702537705
37.0,2.0,9.399999999999999,0.8348931673187264,0.2843959811660979
38.0,1.0,-1.1999999999999957,0.8307187014821328,0.29097798253808704
39.0,1.0,-0.5999999999999979,0.8265651079747222,0.3117403443902731
40.0,0.0,-10.3,0.8224322824348486,0.43406831473112106
41.0,0.0,-11.2,0.8183201210226743,0.3092783666574038
42.0,1.0,-0.7999999999999972,0.8142285204175609,0.21996062900871038
43.0,0.0,-10.6,0.810157377815473,0.32154192881924765
44.0,0.0,-10.3,0.8061065909263957,0.36774490028619766
45.0,1.0,-0.3000000000000007,0.8020760579717637,0.28072649240493774
46.0,0.0,-10.3,0.798065677681905,0.39017394185066223
47.0,1.0,-0.7999999999999989,0.7940753492934954,0.39028214365243913
48.0,0.0,-10.8,0.7901049725470279,0.31125521825419533
49.0,0.0,-10.4,0.7861544476842928,0.3745259717106819
50.0,0.0,-10.8,0.7822236754458713,0.45248202317290837
51.0,2.0,8.899999999999999,0.778312557068642,0.3799414091876575
52.0,0.0,-11.8,0.7744209942832988,0.363543752776949
53.0,0.0,-10.3,0.7705488893118823,0.39873190224170685
54.0,0.0,-10.8,0.7666961448653229,0.2390061111913787
55.0,1.0,-0.40000000000000036,0.7628626641409962,0.4290061543385188
56.0,0.0,-10.4,0.7590483508202912,0.3822778224945068
57.0,1.0,-2.8999999999999932,0.7552531090661897,0.29607738314136384
58.0,0.0,-10.5,0.7514768435208588,0.30060195984939736
59.0,1.0,-0.3999999999999986,0.7477194593032545,0.3163088175157706
60.0,0.0,-10.3,0.7439808620067382,0.45283618569374084
61.0,1.0,-0.3999999999999986,0.7402609576967045,0.2891801881293456
62.0,0.0,-13.700000000000003,0.736559652908221,0.36108824551889773
63.0,0.0,-11.5,0.7328768546436799,0.34381329733878374
64.0,0.0,-10.5,0.7292124703704616,0.46414174636205036
65.0,1.0,-0.40000000000000036,0.7255664080186093,0.34114736318588257
66.0,1.0,-1.3999999999999968,0.7219385759785162,0.3223645091056824
67.0,1.0,-1.099999999999996,0.7183288830986236,0.3855283076946552
68.0,1.0,-0.7999999999999989,0.7147372386831305,0.40482238233089446
69.0,0.0,-10.3,0.7111635524897149,0.3549625352025032
70.0,2.0,8.299999999999997,0.7076077347272662,0.38762124329805375
71.0,1.0,-0.8999999999999986,0.7040696960536299,0.30382362414490094
72.0,1.0,-0.9999999999999964,0.7005493475733617,0.3116463019202153
73.0,0.0,-10.6,0.697046600835495,0.48226015801940647
74.0,0.0,-13.800000000000002,0.6935613678313175,0.3737522926277075
75.0,1.0,-0.3000000000000007,0.6900935609921609,0.3931573569774628
76.0,1.0,-1.9999999999999947,0.6866430931872001,0.4921251427043568
77.0,4.0,28.999999999999986,0.6832098777212641,0.32835812618335086
78.0,2.0,9.699999999999996,0.6797938283326578,0.5165675183137258
79.0,1.0,-3.1999999999999966,0.6763948591909945,0.4388267936951974
80.0,2.0,7.699999999999985,0.6730128848950395,0.43441443202587277
81.0,1.0,-0.5999999999999996,0.6696478204705644,0.4625505059957504
82.0,0.0,-10.4,0.6662995813682115,0.4843792825937271
83.0,2.0,8.699999999999996,0.6629680834613705,0.3913672724738717
84.0,1.0,-2.2999999999999936,0.6596532430440636,0.391166632771492
85.0,0.0,-10.5,0.6563549768288433,0.3331115959833066
86.0,0.0,-10.5,0.653073201944699,0.38781792918841046
87.0,2.0,9.600000000000001,0.6498078359349755,0.5232245794364384
88.0,0.0,-10.9,0.6465587967553006,0.575139170885086
89.0,1.0,-0.1999999999999993,0.6433260027715241,0.5073808059096336
90.0,1.0,-0.8999999999999986,0.6401093727576664,0.49582360549406573
91.0,0.0,-10.5,0.6369088258938781,0.4398711447914441
92.0,0.0,-10.9,0.6337242817644086,0.4599949210882187
93.0,0.0,-10.3,0.6305556603555866,0.48194466531276703
94.0,2.0,8.999999999999996,0.6274028820538087,0.5119202480866358
95.0,1.0,-0.5,0.6242658676435396,0.513494040284838
96.0,1.0,-0.8999999999999986,0.6211445383053219,0.495111575180834
97.0,1.0,-0.7999999999999989,0.6180388156137953,0.5207159757614136
98.0,0.0,-10.3,0.6149486215357263,0.6250565052032471
99.0,0.0,-10.9,0.6118738784280476,0.44090273082256315
100.0,1.0,-1.5999999999999979,0.6088145090359074,0.5451880022883415
101.0,2.0,8.399999999999991,0.6057704364907278,0.4991501177612104
102.0,0.0,-10.6,0.6027415843082742,0.4798136481216976
103.0,0.0,-11.4,0.5997278763867329,0.48970024585723876
104.0,0.0,-10.5,0.5967292370047992,0.5790868202845255
105.0,1.0,-0.6999999999999993,0.5937455908197752,0.484814895523919
106.0,4.0,26.99999999999998,0.5907768628656763,0.5793513068131038
107.0,0.0,-10.4,0.5878229785513479,0.6396020174026489
108.0,1.0,-1.2999999999999954,0.5848838636585911,0.46372468372186026
109.0,1.0,-1.0999999999999996,0.5819594443402982,0.56163489818573
110.0,1.0,-0.40000000000000036,0.5790496471185967,0.6479233702023824
111.0,0.0,-10.9,0.5761543988830038,0.5536206036806106
112.0,2.0,8.399999999999995,0.5732736268885887,0.4616505276215704
113.0,1.0,-0.3000000000000007,0.5704072587541458,0.48783546686172485
114.0,3.0,17.999999999999993,0.567555222460375,0.5099819271514813
115.0,0.0,-10.3,0.5647174463480732,0.4089834839105606
116.0,0.0,-10.5,0.5618938591163328,0.5197625259558359
117.0,0.0,-10.4,0.5590843898207511,0.43566336631774905
118.0,4.0,28.199999999999996,0.5562889678716474,0.5370457638864932
119.0,3.0,18.099999999999984,0.5535075230322891,0.4904719474522964
120.0,2.0,9.599999999999994,0.5507399854171277,0.6773310133389064
121.0,0.0,-10.8,0.547986285490042,0.5735719203948975
122.0,0.0,-11.6,0.5452463540625918,0.5954366133493536
123.0,0.0,-10.7,0.5425201222922789,0.5667384155094624
124.0,1.0,-1.1999999999999993,0.5398075216808175,0.5938552618026733
125.0,0.0,-10.7,0.5371084840724134,0.5765084363520145
126.0,1.0,-0.3999999999999986,0.5344229416520513,0.8267036378383636
127.0,2.0,8.699999999999996,0.531750826943791,0.5989295337349176
128.0,0.0,-10.7,0.5290920728090721,0.5118692331016064
129.0,2.0,9.2,0.5264466124450268,0.6180666793476451
130.0,1.0,-0.6999999999999993,0.5238143793828016,0.5678923659854465
131.0,1.0,-0.1999999999999993,0.5211953074858876,0.6361017674207687
132.0,1.0,-0.5,0.5185893309484582,0.5561026505061558
133.0,0.0,-10.2,0.5159963842937159,0.5550792316595713
134.0,1.0,-1.0999999999999979,0.5134164023722473,0.5148425767054925
135.0,0.0,-10.4,0.510849320360386,0.6720688283443451
136.0,0.0,-10.3,0.5082950737585841,0.6477730721235275
137.0,0.0,-10.4,0.5057535983897912,0.776366776227951
138.0,1.0,-0.7999999999999972,0.5032248303978422,0.47682874500751493
139.0,1.0,-0.5999999999999996,0.500708706245853,0.6048504076898098
140.0,0.0,-10.6,0.4982051627146237,0.6787452016557965
141.0,0.0,-11.5,0.49571413690105054,0.6158697735518217
142.0,0.0,-10.7,0.4932355662165453,0.5573000498116016
143.0,0.0,-10.7,0.4907693883854626,0.6349981389939785
144.0,1.0,-0.9999999999999982,0.4883155414435353,0.6029171571135521
145.0,0.0,-10.7,0.4858739637363176,0.7076270617544651
146.0,1.0,-0.6999999999999993,0.483444593917636,0.6399544411235385
147.0,5.0,37.39999999999997,0.4810273709480478,0.6907401392236352
148.0,2.0,9.0,0.47862223409330756,0.5772105226149926
149.0,1.0,-0.6999999999999975,0.47622912292284103,0.5718646479977502
150.0,2.0,9.5,0.4738479773082268,0.7038731500506401
151.0,1.0,-0.8999999999999986,0.47147873742168567,0.6176716360178861
152.0,0.0,-10.8,0.46912134373457726,0.7228246000077989
153.0,2.0,6.999999999999993,0.46677573701590436,0.6736963120373812
154.0,4.0,27.199999999999974,0.46444185833082485,0.6217221680915717
155.0,2.0,8.899999999999999,0.46211964903917074,0.6448648806129184
156.0,0.0,-10.9,0.4598090507939749,0.5882615625858307
157.0,1.0,-0.5999999999999996,0.457510005540005,0.590851504355669
158.0,0.0,-10.4,0.45522245551230495,0.5531496167182922
159.0,3.0,18.999999999999996,0.4529463432347434,0.6956601185458047
160.0,3.0,17.499999999999986,0.4506816115185697,0.7741348794822035
161.0,0.0,-10.4,0.4484282034609769,0.7759478926658631
162.0,1.0,-0.40000000000000036,0.446186062443672,0.7596577107906342
